SampleID.x,Seqs.Sample..rarefied.,Purified_DNA_Conc.,Site,Sample_Type,Locus,Elevation,date.recorded,Treatment,TOC,TON,soil.pH,VWC,chao1.Ave.10K,observed_otus.Ave.10K
ITS.CC.10,10000,87.8,white mountains,soil,ITS,3100,8/10/2015,S,2.019,0.1614,6.98,2.7,915.413,575.9
ITS.CC.11,10000,37.4,white mountains,soil,ITS,3100,8/10/2015,OS,0.8199,0.1021,6.36,3.9,766.435,456.8
ITS.CC.15,10000,84,white mountains,soil,ITS,3100,8/10/2015,S,2.062,0.1969,6.61,1.2,894.031,599.2
ITS.CC.3,10000,82.2,white mountains,soil,ITS,3100,8/10/2015,S,1.838,0.2144,6.27,0.7,764.003,480.1
ITS.CC.36,10000,65.5,white mountains,soil,ITS,3100,8/10/2015,S,3.476,0.2744,6.27,2.4,827.268,576.5
ITS.CC.43,10000,76.6,white mountains,soil,ITS,3100,8/10/2015,S,2.677,0.1626,5.81,1.9,704.773,379.4
ITS.CC.46,10000,136.2,white mountains,soil,ITS,3100,8/12/2015,SR,1.37,0.1729,6.36,1.4,681.869,424.9
ITS.CC.5,10000,95.4,white mountains,soil,ITS,3100,8/12/2015,SR,1.213,0.1742,5.73,1.1,846.986,570.9
ITS.CC.51,10000,55.4,white mountains,soil,ITS,3100,8/10/2015,S,2.062,0.1969,6.61,1.2,648.676,456.3
ITS.CC.54,10000,109.5,white mountains,soil,ITS,3100,8/12/2015,SR,1.087,0.2125,6.3,2,683.503,455.6
ITS.CC.55,10000,37.2,white mountains,soil,ITS,3100,8/10/2015,S,1.838,0.2144,6.27,0.7,647.502,441.4
ITS.CC.57,10000,53.5,white mountains,soil,ITS,3100,8/10/2015,S,2.677,0.1626,5.81,1.9,720.371,476.3
ITS.CC.6,10000,89.4,white mountains,soil,ITS,3100,8/10/2015,OS,1.926,0.1982,5.67,1.3,913.342,632.1
ITS.CC.63,10000,43.3,white mountains,soil,ITS,3100,8/10/2015,OS,1.985,0.2291,6,1.6,726.369,485.7
ITS.CC.7,10000,104.6,white mountains,soil,ITS,3100,8/10/2015,OS,1.985,0.2291,6,1.6,909.794,595.8
ITS.CC.72,10000,69.5,white mountains,soil,ITS,3100,8/12/2015,SR,1.213,0.1742,5.73,1.1,739.232,478
ITS.CC.73,10000,42.3,white mountains,soil,ITS,3100,8/10/2015,OS,0.8199,0.1021,6.36,3.9,822.24,509.2
ITS.CC.74,10000,58.1,white mountains,soil,ITS,3100,8/10/2015,OS,1.077,0,6.14,2.9,703.541,460.8
ITS.CC.76,10000,31.8,white mountains,soil,ITS,3100,8/10/2015,OS,1.077,0,6.14,2.9,736.969,483.9
ITS.CC.78,10000,74.4,white mountains,soil,ITS,3100,8/12/2015,SR,1.192,0.1972,6.11,1.9,1008.448,582
ITS.CC.2,10000,77.1,white mountains,soil,ITS,3500,8/11/2015,S,2.992,0.3476,6.41,5.4,868.05,561.4
ITS.CC.27,10000,32.5,white mountains,soil,ITS,3500,8/10/2015,S,1.961,0.2352,5.94,5.1,692.044,434.6
ITS.CC.40,10000,33.4,white mountains,soil,ITS,3500,8/10/2015,OS,1.959,0.2758,6.08,4.3,742.687,453.3
ITS.CC.48,10000,53.9,white mountains,soil,ITS,3500,8/11/2015,OS,2.917,0.3548,6.13,5.7,597.742,378.4
ITS.CC.50,10000,33.8,white mountains,soil,ITS,3500,8/10/2015,S,2.604,0.2434,5.3,6.5,685.343,406.9
ITS.CC.52,10000,47.9,white mountains,soil,ITS,3500,8/11/2015,S,3.034,0.3078,5.73,6.6,671.878,396.8
ITS.CC.61,10000,49.8,white mountains,soil,ITS,3500,8/10/2015,OS,1.959,0.2758,6.08,4.3,799.933,452.4
ITS.CC.66,10000,66.8,white mountains,soil,ITS,3500,8/11/2015,S,3.034,0.3078,5.73,6.6,725.524,468
ITS.CC.69,10000,45.6,white mountains,soil,ITS,3500,8/10/2015,OS,2.545,0.2933,6.12,6.1,745.642,486.7
ITS.CC.70,10000,59.2,white mountains,soil,ITS,3500,8/11/2015,S,2.992,0.3476,6.41,5.4,588.16,326.2
ITS.CC.71,10000,37.3,white mountains,soil,ITS,3500,8/11/2015,OS,2.917,0.3548,6.13,5.7,652.048,379.2
ITS.CC.75,10000,63,white mountains,soil,ITS,3500,8/10/2015,S,1.961,0.2352,5.94,5.1,937.363,565.8
ITS.CC.77,10000,50.1,white mountains,soil,ITS,3500,8/10/2015,S,2.604,0.2434,5.3,6.5,740.893,454.4
ITS.CC.79,10000,66.6,white mountains,soil,ITS,3500,8/10/2015,OS,1.922,0.2732,5.68,4.4,789.057,483.3
ITS.CC.80,10000,36.2,white mountains,soil,ITS,3500,8/11/2015,OS,2.361,0.3096,5.45,5,554.482,316.9
ITS.CC.1,10000,107.3,white mountains,soil,ITS,3800,8/11/2015,SR,2.546,0.3244,5.58,6.4,701.996,479.1
ITS.CC.30,10000,62.8,white mountains,soil,ITS,3800,8/11/2015,S,3.062,0.2806,6.25,11.6,759.062,470.3
ITS.CC.38,10000,45.2,white mountains,soil,ITS,3800,8/11/2015,OS,2.405,0.3796,5.2,6.4,657.347,412.9
ITS.CC.39,10000,55.7,white mountains,soil,ITS,3800,8/11/2015,SR,1.577,0.5301,6.77,7,731.806,476.7
ITS.CC.4,10000,88.1,white mountains,soil,ITS,3800,8/11/2015,S,3.062,0.2806,6.25,11.6,685.186,417.2
ITS.CC.44,10000,134.6,white mountains,soil,ITS,3800,8/11/2015,S,3.106,0.3745,5.89,8.4,627.291,365.3
ITS.CC.45,10000,106.7,white mountains,soil,ITS,3800,8/11/2015,SR,2.546,0.3244,5.58,6.4,714.349,448.6
ITS.CC.47,10000,33.2,white mountains,soil,ITS,3800,8/11/2015,S,2.52,0.2878,5.88,8.5,731.699,444.1
ITS.CC.49,10000,73.8,white mountains,soil,ITS,3800,8/11/2015,OS,2.356,0.3225,5.86,9.2,700.898,445
ITS.CC.53,10000,130.7,white mountains,soil,ITS,3800,8/11/2015,SR,1.54,0.1992,5.45,6.4,784.382,527.7
ITS.CC.56,10000,39.4,white mountains,soil,ITS,3800,8/11/2015,OS,2.405,0.3796,5.2,6.4,555.579,362.3
ITS.CC.58,10000,201.6,white mountains,soil,ITS,3800,8/11/2015,SR,3.844,0.348,6.06,5.5,770.07,487.8
ITS.CC.59,10000,55.4,white mountains,soil,ITS,3800,8/11/2015,SR,1.399,0.1904,6.99,7.9,746.038,480.3
ITS.CC.60,10000,67.8,white mountains,soil,ITS,3800,8/11/2015,OS,2.356,0.3225,5.86,9.2,784.303,469.2
ITS.CC.62,10000,68.9,white mountains,soil,ITS,3800,8/11/2015,SR,1.577,0.5301,6.77,7,792.306,506.5
ITS.CC.64,10000,84.4,white mountains,soil,ITS,3800,8/11/2015,S,3.106,0.3745,5.89,8.4,298.102,137.1
ITS.CC.67,10000,39.5,white mountains,soil,ITS,3800,8/11/2015,OS,2.947,0.4194,6.3,8.4,733,418
ITS.CC.68,10000,56.2,white mountains,soil,ITS,3800,8/11/2015,OS,3.089,0.4398,6.31,6.6,923.902,518.8
ITS.CC.8,10000,118.9,white mountains,soil,ITS,3800,8/11/2015,S,2.611,0.334,6.27,13.3,648.454,418.3
ITS.CC.9,10000,76.3,white mountains,soil,ITS,3800,8/11/2015,OS,2.147,0.266,7.1,10.4,797.26,519.2
